id,from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
1,AOBADAI,TANA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
2,AOBADAI,FUJIGAOKA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
3,AZAMINO,EDA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
4,AZAMINO,TAMAPLAZA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
5,BASHAMICHI,NIHONODORI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
6,BASHAMICHI,MINATOMIRAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
7,CHIDORICHO,IKEGAMI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
8,CHIDORICHO,KUGAHARA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
9,CHUORINKAN,TSUKIMINO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
10,DAIKANYAMA,NAKAMEGURO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
11,DAIKANYAMA,SHIBUYA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
12,DENENCHOFU,TAMAGAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
13,DENENCHOFU,JIYUGAOKA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
14,DENENCHOFU,OKUSAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
15,EBARAMACHI,HATANODAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
16,EBARAMACHI,NAKANOBU,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
17,EBARANAKANOBU,HATANODAI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
18,EBARANAKANOBU,TOGOSHIGINZA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
