id,station_code,event_code,created_at,updated_at
1,JIYUGAOKA,TOKYU_20250517,2025-05-17 01:00:00+00,2025-05-17 01:00:00+00
2,TAMAPLAZA,TOKYU_20250517,2025-05-17 01:20:10.300+00,2025-05-17 01:20:10.300+00
3,MUSASHIKOYAMA,TOKYU_20250517,2025-05-17 02:09:01.905+00,2025-05-17 02:09:01.905+00
4,MYORENJI,TOKYU_20250517,2025-05-17 03:08:14.076+00,2025-05-17 03:08:14.076+00
5,OOKAYAMA,TOKYU_20250517,2025-05-17 04:42:14.361+00,2025-05-17 04:42:14.361+00
6,OKURAYAMA,TOKYU_20250517,2025-05-17 04:59:11.924+00,2025-05-17 04:59:11.924+00
7,MIZONOKUCHI,TOKYU_20250517,2025-05-17 05:48:28.807+00,2025-05-17 05:48:28.807+00
8,NUMABE,TOKYU_20250517,2025-05-17 06:51:44.992+00,2025-05-17 06:51:44.992+00
9,TSUKIMINO,TOKYU_20250517,2025-05-17 07:12:25.233+00,2025-05-17 07:12:25.233+00
10,HIYOSHI,TOKYU_20250517,2025-05-17 08:52:51.794+00,2025-05-17 08:52:51.794+00
11,DUMMY_STATION,DUMMY_20250725,2025-07-24 15:00:00.000+00,2025-07-24 15:00:00.000+00
17,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,1970-11-15 01:00:00.000+00,1970-11-15 01:00:00.000+00
18,TOKYU_V2_JIYUGAOKA,TOKYU_V2_TESTPLAY_20251018,1970-10-18 01:00:00.000+00,1970-10-18 01:00:00.000+00
64,TOKYU_V2_YOKOHAMA,TOKYU_V2_20251115,2025-11-15 01:17:47.377+00,2025-11-15 01:17:47.377+00
65,TOKYU_V2_ISHIKAWADAI,TOKYU_V2_20251115,2025-11-15 02:25:15.125+00,2025-11-15 02:25:15.125+00
66,TOKYU_V2_HIGASHIHAKURAKU,TOKYU_V2_20251115,2025-11-15 05:16:21.807+00,2025-11-15 05:16:21.807+00
67,TOKYU_V2_MIDORIGAOKA,TOKYU_V2_20251115,2025-11-15 06:00:08.172+00,2025-11-15 06:00:08.172+00
68,TOKYU_V2_KOMAZAWADAIGAKU,TOKYU_V2_20251115,2025-11-15 06:09:43.927+00,2025-11-15 06:09:43.927+00
69,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 07:29:58.806+00,2025-11-15 07:29:58.806+00
70,TOKYU_V2_OIMACHI,TOKYU_V2_20251115,2025-11-15 07:44:36.787+00,2025-11-15 07:44:36.787+00
71,TOKYU_V2_GOTANDA,TOKYU_V2_20251115,2025-11-15 08:46:05.249+00,2025-11-15 08:46:05.249+00
